region,incgroup,offshore,country,cntrycode,bankname 2013,bankname 2009,spec,index_consol,cons_code,index_unconsol,unconsol_code,ISIN,Ticker,Swift,yoe,yoi,note_2009,note_2013,added2014,active2013,own1995,own1996,own1997,own1998,own1999,own2000,own2001,own2002,own2003,own2004,own2005,own2006,own2007,own2008,own2009,own2010,own2011,own2012,own2013,ownsou1995,ownsou1996,ownsou1997,ownsou1998,ownsou1999,ownsou2000,ownsou2001,ownsou2002,ownsou2003,ownsou2004,ownsou2005,ownsou2006,ownsou2007,ownsou2008,ownsou2009,ownsou2010,ownsou2011,ownsou2012,ownsou2013
OECD,OECD,0,JAPAN,JPN,"Tochigi Bank, Ltd.","Tochigi Bank, Ltd.",Commercial Banks,31971,C2,17236,U2,JP3627800000,8550,TOCI JP JT,1942,,"Established on December 1, 1942 as Tochigi Mujin Ltd. In 1989, its name changed to Tochigi Bank, Ltd.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Toho Bank Ltd. (The),Toho Bank Ltd. (The),Commercial Banks,32667,C2,17237,U2,JP3601000007,8346,TOHO JP JT,1941,,Established in 1941.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Tokyo Star Bank Ltd.,Tokyo Star Bank Ltd.,Commercial Banks,32675,C2,17288,U2,JP3578800009,Delisted,TSBK JP JT,1950,,"Established in 1950 as Tokyo Sogo Bank Ltd. In 1989, its name changed to Tokyo Sowa Bank Ltd. In June 2001, changed its name to Tokyo Star Bank Ltd having been insolvent since 1999. In 2002, transfer of business from Tokyo Chuo Credit Cooperation and Tokyo Credit Cooperative to Tokyo Star Bank Ltd.",,0,Active,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,DOM,DOM,DOM,DOM,DOM,DOM,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,UNITED STATES,DOM,DOM,DOM,DOM,DOM,TAIWAN
OECD,OECD,0,JAPAN,JPN,"Tokyo Tomin Bank, Ltd. (The)","Tokyo Tomin Bank, Ltd. (The)",Commercial Banks,30262,C2,17240,U2,JP3587000005,8339,TOMI JP JT,1951,,"Established on December 18, 1951.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Yachiyo Bank,Yachiyo Bank,Commercial Banks,36336,C2,17247,U2,JP3932980000,8409,YACY JP JT,1924,,"Established in 1924 as Credit Union. In 1991, its name changed to Yachiyo Bank. In August 2000, took over the business operations of Kokumin Bank, Ltd..",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Yamaguchi Bank,Yamaguchi Bank,Commercial Banks,47973,C2,31756,U2,JP3935200000,Delisted,YMBK JP JT,1878,,"Established in November 1878 as the Hyakuju (110th) National Bank. In 1898, became a joint stock company. In 1944, following a merger with the Oshima, Kaho, Ube and Senjo banks, was renamed Yamaguchi Bank.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Yamanashi Chuo Bank Ltd (The),Yamanashi Chuo Bank Ltd (The),Commercial Banks,32504,C2,17250,U2,JP3942000005,8360,YCHB JP JT,1941,,Established in 1941.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
MENA,EM,0,JORDAN,JOR,Arab Bank Plc,Arab Bank Plc,Commercial Banks,31548,U1,31548,U1,JO1302311013,ARBK,ARAB JO AX,1930,,"Established on May 21, 1930.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
MENA,EM,0,JORDAN,JOR,Arab Banking Corporation (Jordan),Arab Banking Corporation (Jordan),Commercial Banks,40017,C2,43094,U2,JO1100911014,ABCO,ABCJ JO AM,1990,,"Established on January 21, 1990. Is part of the Arab Banking Corporation  and has nothing to do with Jordanese Arab Bank Plc ",,0,Active,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA,LIBYA
MENA,EM,0,JORDAN,JOR,Bank of Jordan Plc,Bank of Jordan Plc,Commercial Banks,32555,U1,32555,U1,JO1102211017,BOJX,BJOR JO AX,1960,,Established in 1960.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
MENA,EM,0,JORDAN,JOR,Cairo Amman Bank,Cairo Amman Bank,Commercial Banks,47612,C2,32556,U2,JO1102111019,CABK,CAAB JO AM,1960,,Established in 1960.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
MENA,EM,0,JORDAN,JOR,Capital Bank of Jordan,Capital Bank of Jordan,Commercial Banks,42901,C1,42901,C1,JO1101711017,EXFB,EFBK JO AM,1995,,"Established in 1995. In April 2006, Export and Finance Bank changed its name to Capital Bank of Jordan.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
MENA,EM,0,JORDAN,JOR,Housing Bank for Trade & Finance (The),Housing Bank for Trade & Finance (The),Commercial Banks,32551,C1,32551,C1,JO1100411015,THBK,HBHO JO AX,1973,,"Established in 1973 as The Housing Bank. On May 1, 2000 changed its name to The Housing Bank for Trade & Finance. Since X the bank is foreign owned with Qatar National Bank owns 35% of the shares (raised in 2007 from 20%), Kuwait Real Estate Investment Consortium 19% and Libyan foreign bank 16%. ",,0,Active,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,KUWAIT,KUWAIT,QATAR,QATAR,QATAR,QATAR,QATAR,QATAR,QATAR
